event_date,country,platform,dau,total_iap_revenue,total_ad_revenue,matches_started,arpdau,match_per_dau,win_ratio,defeat_ratio,server_error_per_dau
2024-02-15,AFGHANISTAN,ANDROID,7,0,0.004437264,5,0.000633895,0.7142857142857143,0.8,0.2,0.0
2024-02-15,NORWAY,ANDROID,160,216.098177651,4.814474479,929,1.380704076,5.80625,0.58881987577639749,0.41118012422360251,0.00625
2024-02-15,SURINAME,ANDROID,1,0,0,1,0,1.0,1.0,0.0,0.0
2024-02-15,CAMEROON,ANDROID,4,0,0.103403826,1,0.025850957,0.25,,,0.25
2024-02-15,ISLE OF MAN,IOS,2,0,0,5,0,2.5,0.6,0.4,0.0
2024-02-15,MALTA,IOS,21,28.563545596,0.372578383,98,1.377910666,4.666666666666667,0.63513513513513509,0.36486486486486486,0.0
2024-02-15,MONTENEGRO,ANDROID,128,0,0.426971276,707,0.003335713,5.5234375,0.60267111853088484,0.39732888146911521,0.0
2024-02-15,EGYPT,ANDROID,662,0.646606126,3.617043965,2651,0.006440559,4.0045317220543808,0.56258534365043245,0.43741465634956761,0.048338368580060423
2024-02-15,IRAN,ANDROID,119,11.830943461,0.542401814,678,0.103977691,5.6974789915966388,0.61278195488721809,0.38721804511278196,0.0084033613445378148
2024-02-15,FINLAND,ANDROID,152,114.078715067,6.101429088,742,0.790658843,4.8815789473684212,0.55810147299509,0.44189852700491,0.0
2024-02-15,MARTINIQUE,ANDROID,4,0,0.057108831,14,0.014277208,3.5,0.53846153846153844,0.46153846153846156,0.0
2024-02-15,RWANDA,ANDROID,1,0,0,2,0,2.0,0.0,1.0,0.0
2024-02-15,FRANCE,IOS,1548,283.569417489,44.509353934,7779,0.211937191,5.025193798449612,0.60909920876445522,0.39090079123554472,0.030361757105943153
2024-02-15,BANGLADESH,IOS,26,0,0.052090384,108,0.002003476,4.1538461538461542,0.7021276595744681,0.2978723404255319,0.0
2024-02-15,ESTONIA,IOS,76,0,1.475070563,356,0.019408823,4.6842105263157894,0.63103448275862073,0.36896551724137933,0.052631578947368418
2024-02-15,TÜRKIYE,ANDROID,16274,797.836052908,150.736107222,79841,0.058287585,4.9060464544672486,0.64097515518614823,0.35902484481385177,0.017451149072139609
2024-02-15,NEW CALEDONIA,ANDROID,4,0,0.013054234,56,0.003263559,14.0,0.97619047619047616,0.023809523809523808,0.0
2024-02-15,CANADA,ANDROID,695,402.95660004,27.956705301,3346,0.620019144,4.8143884892086328,0.64079670329670335,0.3592032967032967,0.035971223021582732
2024-02-15,FAROE ISLANDS,ANDROID,2,0,0,2,0,1.0,0.5,0.5,0.0
2024-02-15,MONTENEGRO,IOS,43,0,0.357420237,345,0.008312099,8.0232558139534884,0.5547945205479452,0.4452054794520548,0.0
2024-02-15,COSTA RICA,ANDROID,51,0,0.2857791,280,0.005603512,5.4901960784313726,0.66086956521739126,0.33913043478260868,0.0196078431372549
2024-02-15,NETHERLANDS,IOS,737,274.681294461,23.012033958,3851,0.403925819,5.2252374491180458,0.59601391964568173,0.40398608035431827,0.021709633649932156
2024-02-15,CONGO - BRAZZAVILLE,ANDROID,2,0,0,4,0,2.0,0.33333333333333331,0.66666666666666663,0.0
2024-02-15,EQUATORIAL GUINEA,ANDROID,1,0,0.040077797,7,0.040077797,7.0,1.0,0.0,0.0
2024-02-15,BURKINA FASO,IOS,2,0,0.018077769,11,0.009038885,5.5,0.90909090909090906,0.090909090909090912,0.0
2024-02-15,FRENCH GUIANA,IOS,1,0,0,0,0,0.0,,,0.0
2024-02-15,SLOVAKIA,IOS,298,68.800327263,6.873970705,2072,0.253940597,6.9530201342281881,0.6158088235294118,0.38419117647058826,0.030201342281879196
2024-02-15,TAJIKISTAN,IOS,109,1.98,0.478655216,434,0.02255647,3.9816513761467891,0.61064425770308128,0.38935574229691877,0.055045871559633031
2024-02-15,LUXEMBOURG,ANDROID,50,1.065753779,0.719316282,290,0.035701401,5.8,0.64143426294820716,0.35856573705179284,0.26
2024-02-15,JERSEY,IOS,1,0,0,0,0,0.0,,,0.0
2024-02-15,TÜRKIYE,IOS,6280,1343.513550258,102.943669131,38707,0.230327583,6.1635350318471334,0.6069996240130342,0.3930003759869658,0.029936305732484077
2024-02-15,VIETNAM,IOS,5706,462.924062123,55.242446888,26994,0.090810815,4.7308096740273395,0.64201724588450482,0.35798275411549518,0.030318962495618648
2024-02-15,BHUTAN,ANDROID,4,0,0.000750262,10,0.000187566,2.5,0.88888888888888884,0.1111111111111111,0.0
2024-02-15,UNITED STATES,IOS,9589,4461.392727689,416.517719007,43003,0.508698555,4.4846177912191054,0.6586572239552595,0.34134277604474045,0.033684430076128896
